Personagem1,Personagem2,taxaVitoria1,taxaVitoria2
zelda,rosalina,57.77,42.23
zelda,little-mac,50.5,49.5
zelda,greninja,48.07,51.93
zelda,palutena,48.76,51.24
dr-mario,lucas,52.55,47.45
dr-mario,sonic,48.38,51.62
dr-mario,king-dedede,48.8,51.2
dr-mario,simon,46.19,53.81
dr-mario,richter,38.18,61.82
dr-mario,king-k-rool,51.89,48.11
dr-mario,isabelle,56.84,43.16
dr-mario,incineroar,53.36,46.64
pichu,snake,42.95,57.05
pichu,ike,46.08,53.92
pichu,pokemon-trainer,52.56,47.44
falco,meta-knight,46.35,53.65
falco,pit,53.7,46.3
marth,olimar,48.41,51.59
marth,incineroar,39.79,60.21
marth,piranha-plant,38.19,61.81
marth,joker,47.32,52.68
marth,hero,41.33,58.67
marth,banjo-and-kazooie,41.62,58.38
marth,terry,39.29,60.71
lucina,greninja,37.72,62.28
lucina,palutena,42.01,57.99
mewtwo,pyra-and-mythra,51.75,48.25
mewtwo,kazuya,43.69,56.31
mewtwo,sora,52.7,47.3
roy,king-k-rool,43.67,56.33
roy,isabelle,41.23,58.77
roy,incineroar,43.8,56.2
roy,piranha-plant,41.71,58.29
chrom,dark-pit,51.14,48.86
chrom,zero-suit-samus,47.81,52.19
chrom,wario,47.45,52.55
chrom,little-mac,46.53,53.47
chrom,greninja,42.32,57.68
chrom,palutena,45.1,54.9
chrom,pac-man,40.95,59.05
pit,palutena,47.77,52.23
pit,pac-man,41.63,58.37
pit,robin,41.6,58.4
pit,shulk,42.34,57.66
dark-pit,joker,53.24,46.76
dark-pit,hero,52.41,47.59
dark-pit,banjo-and-kazooie,41.28,58.72
dark-pit,terry,34.65,65.35
dark-pit,byleth,53.85,46.15
dark-pit,min-min,35.78,64.22
dark-pit,steve,30.59,69.41
dark-pit,sephiroth,51.06,48.94
dark-pit,pyra-and-mythra,52.63,47.37
dark-pit,kazuya,35.99,64.01
dark-pit,sora,50.0,50.0
zero-suit-samus,wario,45.62,54.38
zero-suit-samus,snake,44.08,55.92
zero-suit-samus,sora,50.95,49.05
wario,snake,41.02,58.98
wario,ike,45.47,54.53
wario,pokemon-trainer,48.39,51.61
wario,richter,41.32,58.68
wario,king-k-rool,49.59,50.41
snake,incineroar,55.65,44.35
snake,piranha-plant,67.58,32.42
snake,joker,65.87,34.13
snake,hero,57.64,42.36
snake,banjo-and-kazooie,54.85,45.15
snake,terry,58.63,41.37
snake,byleth,62.79,37.21
snake,min-min,48.74,51.26
snake,steve,53.85,46.15
snake,sephiroth,59.91,40.09
snake,pyra-and-mythra,57.86,42.14
snake,kazuya,51.4,48.6
pokemon-trainer,robin,39.17,60.83
pokemon-trainer,shulk,51.49,48.51
pokemon-trainer,bowser-jr,44.04,55.96
pokemon-trainer,duck-hunt,44.13,55.87
pokemon-trainer,ryu,35.95,64.05
pokemon-trainer,ken,34.67,65.33
pokemon-trainer,sora,48.99,51.01
diddy-kong,joker,55.83,44.17
diddy-kong,hero,47.05,52.95
diddy-kong,banjo-and-kazooie,46.85,53.15
diddy-kong,terry,43.63,56.37
sonic,joker,62.93,37.07
sonic,hero,53.95,46.05
sonic,banjo-and-kazooie,48.68,51.32
sonic,terry,50.32,49.68
sonic,byleth,61.73,38.27
sonic,min-min,50.26,49.74
sonic,steve,42.48,57.52
sonic,sephiroth,57.52,42.48
king-dedede,greninja,50.06,49.94
olimar,hero,53.93,46.07
olimar,banjo-and-kazooie,52.25,47.75
olimar,terry,32.29,67.71
olimar,byleth,57.4,42.6
olimar,min-min,45.23,54.77
olimar,steve,43.0,57.0
olimar,sephiroth,56.48,43.52
olimar,pyra-and-mythra,49.77,50.23
rob,wolf,63.07,36.93
rob,villager,57.12,42.88
rob,richter,52.08,47.92
rob,king-k-rool,58.8,41.2
rob,isabelle,53.73,46.27
rob,incineroar,55.72,44.28
rob,piranha-plant,61.82,38.18
rob,joker,63.95,36.05
rob,hero,58.9,41.1
rob,banjo-and-kazooie,55.07,44.93
rob,terry,50.67,49.33
toon-link,sephiroth,52.7,47.3
toon-link,pyra-and-mythra,51.11,48.89
toon-link,kazuya,45.92,54.08
toon-link,sora,53.2,46.8
wolf,villager,46.2,53.8
wolf,mega-man,48.43,51.57
wolf,wii-fit-trainer,43.36,56.64
wolf,rosalina,50.11,49.89
wolf,little-mac,45.49,54.51
wolf,greninja,52.38,47.62
wolf,palutena,46.51,53.49
wolf,pac-man,44.73,55.27
wolf,robin,45.38,54.62
wolf,shulk,45.12,54.88
wolf,bowser-jr,42.71,57.29
wolf,duck-hunt,43.92,56.08
samus,kirby,61.4,38.6
samus,daisy,54.48,45.52
sheik,young-link,39.37,60.63
pichu,young-link,53.02,46.98
zelda,ganondorf,57.84,42.16
lucario,simon,49.09,50.91
lucario,richter,49.82,50.18
lucario,king-k-rool,45.37,54.63
mario,corrin,55.06,44.94
falco,corrin,55.81,44.19
sheik,bayonetta,35.81,64.19
roy,bayonetta,40.23,59.77
wario,bayonetta,42.52,57.48
donkey-kong,dark-samus,48.62,51.38
link,dark-samus,40.85,59.15
